Name,Brand,Price,Ar Name,Ar Brand,Arabic Category,HighResImg,MediumResImg,LowResImg
Harpic Power Toilet Cleaner With Lemon - 450 ml...,Harpic,26.50,هاربيك منظف تواليت ليمون 450ج,هاربيك,أدوات التنظيف المنزلية/مستلزمات التنظيف/تنظيف المرحاض/منظف ​​المرحاض,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h62/h7f/10068175487006/474197_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h3a/h78/10068175257630/474197_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h0b/h7f/10068175454238/474197_main.jpg_146Wx146H"
New Pyrosol Mosquito Repellent Spray - 100ml...,,29.95,نيوبيروسول طارد الحشرات الطائرة100ق,,أدوات التنظيف المنزلية/مكافحة الحشرات/بخاخات وقاتلات الحشرات وغيرها,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h91/h29/10068310163486/470984_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hf9/h2c/10068310065182/470984_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/he8/h29/10068310130718/470984_main.jpg_146Wx146H"
Frida Clean Home Surface Cleaner - 480ml,Frida,26.50,فريدا منظف معطر للمنزل 480م,فريدا,أدوات التنظيف المنزلية/مستلزمات التنظيف/منظف ​​متعدد الأغراض,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h02/hf1/10068601372702/478988_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h9a/hed/10068601274398/478988_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h98/hf0/10068601339934/478988_main.jpg_146Wx146H"
Maxell Waves Rumba Air Freshener Spray - 475ml...,Maxell,25.25,ماكسيل ماجيك ويفز رومبا 475م,ماكسيل,أدوات التنظيف المنزلية/الشموع ومعطرات الجو/بخاخ عطري، جل وملطف الجو/بخاخ معطر جو,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h35/he1/10069135196190/487685_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h9e/he4/10069135097886/487685_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h8c/he1/10069135163422/487685_main.jpg_146Wx146H"
Kiro Black Shoe Polishing Wax - 50gm,Kirox,6.25,كيرو شمع تلميع احذية اسود 50م,كيروكس,أدوات التنظيف المنزلية/مستلزمات التنظيف/ورنيش الحذاء,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h2d/hcb/10066651512862/294320_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h95/hce/10066651414558/294320_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hd3/hcd/10066651480094/294320_main.jpg_146Wx146H"
Maxell Toilet Cleaner With Ocean - 500 ml...,Maxell,22.75,ماكسيل ماجيك منظف تواليت اوشن 500م,ماكسيل,أدوات التنظيف المنزلية/مستلزمات التنظيف/تنظيف المرحاض/منظف ​​المرحاض,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h4f/h68/10066646106142/330664_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/he6/h64/10066646007838/330664_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/ha8/h65/10066646073374/330664_main.jpg_146Wx146H"
MAXELL MAGIC TOILET CLEAN ZERO 700M,Maxell,30.95,ماكسيل-ماجيك منظف تواليت 700م,ماكسيل,أدوات التنظيف المنزلية/مستلزمات التنظيف/تنظيف المرحاض/منظف ​​المرحاض,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h8c/h39/10066597543966/340961_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hf4/h3c/10066597445662/340961_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/he3/h39/10066597511198/340961_main.jpg_146Wx146H"
Clorox Clothes Stain Remover Powder - 500gm...,Clorox,44.95,كلوروكس مزيل بقع باودر 500جم,كلوركس,أدوات التنظيف المنزلية/مساحيق غسيل وتنظيف/مزيلات البقع والعناية بالأقمشة/مسحوق مزيل البقع,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h14/hff/9739433148446/445712_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h96/hfd/9739433050142/445712_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h6c/hff/9739433115678/445712_main.jpg_146Wx146H"
GLADE REFILL LAVENDAR 12M,Glade,34.95,جليد معطر غيار لفندر 12م,جلايد,أدوات التنظيف المنزلية/الشموع ومعطرات الجو/معطرات الجو عبوات إعادة التعبئة,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h17/h91/10067930611742/465589_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/haf/h8d/10067930513438/465589_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h5d/h8e/10067930578974/465589_main.jpg_146Wx146H"
Harpic Power Toilet Cleaner Original - 450 ml...,Harpic,41.95,هاربيك منظف تواليت اصلي 450م-20%خصم,هاربيك,أدوات التنظيف المنزلية/مستلزمات التنظيف/تنظيف المرحاض/منظف ​​المرحاض,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hda/h37/10068531380254/478983_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h72/h34/10068531281950/478983_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h70/h37/10068531347486/478983_main.jpg_146Wx146H"
Corazzi Green Scouring Pads - Pack of 3,Corazzi,25.45,كوراتزي ليفة جلى خضراء 3ق,كورازي,أدوات التنظيف المنزلية/مستلزمات التنظيف/منتجات الأسفنج وغيرها/اسفنج,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hf1/h8d/10065544413214/4690_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h88/h8a/10065544314910/4690_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h49/h8b/10065544380446/4690_main.jpg_146Wx146H"
Right Shoe Shine Sponge,Right guard,8.00,رايت اسفنجة تلميع احذية,رايت جارد,أدوات التنظيف المنزلية/مستلزمات التنظيف/ورنيش الحذاء,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h1a/he4/10065540382750/4564_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hb2/he0/10065540284446/4564_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/haf/he3/10065540349982/4564_main.jpg_146Wx146H"
Astonish Stainless Steel & Shine Spray Cleaner -...,Astonish,69.95,استونش منظف استانلس 750م,أستونيش,أدوات التنظيف المنزلية/مستلزمات التنظيف/تنظيف المطبخ والفرن/منظفات الفرن,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h03/hb9/10066643976222/272294_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h6b/hbc/10066643877918/272294_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h5a/hb9/10066643943454/272294_main.jpg_146Wx146H"
Clorel Stain Remover For Colors With Oxygen Power - ...,Clorel,9.40,كلوريل مبيض ملبس الوان روز 500م,كلورل,أدوات التنظيف المنزلية/مساحيق غسيل وتنظيف/مزيلات البقع والعناية بالأقمشة/تبييض,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h2b/hb4/10066596069406/341172_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h2c/hff/10066595971102/341172_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h82/hb4/10066596036638/341172_main.jpg_146Wx146H"
Kiro Havan Suede Rennovating Spray - 250ml...,Kiro,23.95,كيرو سبراى مجدد شمواه هافان 250م,كيرو,أدوات التنظيف المنزلية/مستلزمات التنظيف/ورنيش الحذاء,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h87/hde/10066676318238/341215_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h1f/hdb/10066676219934/341215_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/he0/hdb/10066676285470/341215_main.jpg_146Wx146H"
Velveta Liquid Stain Remover 3X Concentrated - 600 m...,Velveta,23.50,فلفيتا سائل مزيل بقع 600م,فلفيتا,أدوات التنظيف المنزلية/مساحيق غسيل وتنظيف/مزيلات البقع والعناية بالأقمشة/مزيل البقع السائل,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h19/h81/10067206635550/426309_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hb1/h7d/10067206537246/426309_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hc2/h80/10067206602782/426309_main.jpg_146Wx146H"
Best Natural Shoe Polish Cream - 60ml,Pioneer,13.50,بست كريم تلميع احذية شفاف 60م,بيونير,أدوات التنظيف المنزلية/مستلزمات التنظيف/ورنيش الحذاء,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h0d/h94/10067924713502/462256_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h75/h97/10067924615198/462256_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hb4/h96/10067924680734/462256_main.jpg_146Wx146H"
Best Black Liquid Shoe Polish - 75ml,Pioneer,17.75,بست سائل تلميع احذية اسود 75م,بيونير,أدوات التنظيف المنزلية/مستلزمات التنظيف/ورنيش الحذاء,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h9b/h4f/10067920125982/461418_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h03/h53/10067920027678/461418_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h41/h52/10067920093214/461418_main.jpg_146Wx146H"
Downy Perfume Collection Concentrate Fabric Softener...,Downy,52.45,880M داوني مركز احساس الرفاهية,داوني,أدوات التنظيف المنزلية/مساحيق غسيل وتنظيف/منعم ألبسة/منعم الاقمشة,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h7b/hf2/10068562280478/483264_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/he3/hf5/10068562182174/483264_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/he5/hf2/10068562247710/483264_main.jpg_146Wx146H"
