Name,Brand,Price,Ar Name,Ar Brand,Arabic Category,HighResImg,MediumResImg,LowResImg
Beyti Tropicana Guava Juice - 1 Liter,Beyti,6.75,بيتى تروبيكانا جوافه 1ل,بيتي,المشروبات/العصائر/عصائر طويلة الأمد/عصير فواكه,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hd8/ha7/10059993743390/522688_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/ha8/hae/10059993546782/522688_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/he9/haa/10059993677854/522688_main.jpg_146Wx146H"
Beyti Tropicana Mango Juice - 1 Liter,Beyti,7.45,بيتى تروبيكانا مانجو 1ل,بيتي,المشروبات/العصائر/عصائر طويلة الأمد/عصير فواكه,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h47/hbf/10059993088030/522687_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h4f/hf2/10059992891422/522687_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hf5/hbf/10059993022494/522687_main.jpg_146Wx146H"
Beyti Tropicana Apple Juice - 1.5 Liters,Beyti,14.25,بيتى تروبيكانا تفاح 1.5ل,بيتي,المشروبات/العصائر/عصائر طويلة الأمد/عصير فواكه,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h94/h34/10073027969054/522689_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/he9/h37/10073027870750/522689_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/heb/h34/10073027936286/522689_main.jpg_146Wx146H"
Frooba Strawberry Soft Drink - 275 ml,,1.85,فروبا مشروب غازى بطيخ275م,,المشروبات/مشروبات غازية/مشروبات غازية متنوعة/نكهات أخرى,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h4d/hf7/9344272629790/510148_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h90/hf0/9344272433182/510148_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h4f/hf4/9344272564254/510148_main.jpg_146Wx146H"
Frooba Peach Soft Drink - 275 ml,,1.85,فروبا مشروب غازى اناناس275م,,المشروبات/مشروبات غازية/مشروبات غازية متنوعة/نكهات أخرى,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/heb/h58/9344525893662/510146_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hbb/h5f/9344525697054/510146_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hac/h59/9344525828126/510146_main.jpg_146Wx146H"
Big Green Apple - 360 ml,,1.85,فروبا مشروب غازى ليمون ونعناع275م,,المشروبات/مشروبات غازية/مشروبات غازية متنوعة/نكهات أخرى,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hdd/h86/10072026972190/510147_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h46/h8a/10072026873886/510147_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h47/h87/10072026939422/510147_main.jpg_146Wx146H"
Frooba Peach Malt Drink - 275 ml,,1.85,فروبا مشروب شعير فراوله 275م,,المشروبات/مشروبات غازية/مشروبات غازية متنوعة/مشروبات الشعير,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h1c/h06/9344526549022/510144_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/ha1/h00/9344526352414/510144_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h1e/h03/9344526483486/510144_main.jpg_146Wx146H"
"Rabea Express Tea, Rich Flavor - 50 Bags",Rabea tea,30.95,شاى ربيع اكسبريس نكهة غنية 50ف,شاي ربيع,المشروبات/شاي/أكياس شاي/حقائب سوداء,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h8e/h41/9837821263902/508842_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h26/h3e/9837821165598/508842_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h37/h41/9837821231134/508842_main.jpg_146Wx146H"
Frooba Lemon Mint Malt Drink - 275 ml,,1.85,فروبا مشروب شعير خوخ 275م,,المشروبات/مشروبات غازية/مشروبات غازية متنوعة/مشروبات الشعير,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/he2/h2a/9344274923550/510143_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hb2/h31/9344274726942/510143_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hf3/h2d/9344274858014/510143_main.jpg_146Wx146H"
7UP - 0.97 Liter,7Up,8.35,,,,,,
