Name,Brand,Price,Ar Name,Ar Brand,Arabic Category,HighResImg,MediumResImg,LowResImg
TEAMA PRIMO TRIANGLE CHEESE 16P,Teama,17.45,طعمة بريمو جبنة مثلثات 16ق,تيما,أطعمة طازجة/منتجات الألبان والبيض/جبنة و لبنة/جبن جاهز وقابل للدهن,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hc7/h34/9932849905694/480638_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h2f/h38/9932849807390/480638_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h6e/h37/9932849872926/480638_main.jpg_146Wx146H"
TEAMA DOMYATI CHEESE 1K,Teama,34.95,طعمة جبنة دمياطي 1ك,تيما,أطعمة طازجة/منتجات الألبان والبيض/جبنة و لبنة/جبن أبيض وفيتا,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h56/h1f/9933137346590/465689_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hbe/h22/9933137248286/465689_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/had/h1f/9933137313822/465689_main.jpg_146Wx146H"
TEAMA FETA CHEESE OLIVE 250G,Teama,6.95,طعمة جبنة فيتا زيتون 250ج,تيما,أطعمة طازجة/منتجات الألبان والبيض/جبنة و لبنة/جبن أبيض وفيتا,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hf0/h00/9286897565726/451547_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hdf/h05/9286897369118/451547_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h43/h00/9286897500190/451547_main.jpg_146Wx146H"
ACTIVIA NATURAL YOGHURT 170G,Activia,4.75,اكتيفيا زبادى طبيعى 170ج,أكتيفيا,أطعمة طازجة/منتجات الألبان والبيض/الزبادي/الزبادي العادي,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/he2/h40/9286937280542/491080_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h11/h3a/9286937083934/491080_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h21/h40/9286937215006/491080_main.jpg_146Wx146H"
LVQR ORANGE 16P,,18.75,لفاش كيري 16ق,,أطعمة طازجة/منتجات الألبان والبيض/جبنة و لبنة/جبن جاهز وقابل للدهن,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hbd/h2f/10068641349662/482311_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h68/h2c/10068641251358/482311_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h66/h2f/10068641316894/482311_main.jpg_146Wx146H"
Light Gouda Cheese,,229.95,جبنه جودة ليت,,أطعمة طازجة/منتجات الألبان والبيض/جبنة و لبنة/جبنة شيدر,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hdd/h34/9342619549726/454289_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h9a/h3b/9342619353118/454289_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hda/h37/9342619484190/454289_main.jpg_146Wx146H"
Kiri Cheese With Black Seeds,,50.95,جبنة كيرى بحبة البركة,,أطعمة طازجة/منتجات الألبان والبيض/جبنة و لبنة/جبنة طازجة و مختلطة,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h95/h2b/9294310506526/441328_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hc5/h24/9294310309918/441328_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h97/h28/9294310440990/441328_main.jpg_146Wx146H"
HEALTHY NATURAL YOGHURT 105G,HEALTHY,3.50,هيلثي زبادى طبيعى 105ج,هلثي,أطعمة طازجة/منتجات الألبان والبيض/الزبادي/الزبادي العادي,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h1f/h41/9286990430238/471660_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h4f/h3a/9286990233630/471660_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h0e/h3e/9286990364702/471660_main.jpg_146Wx146H"
Kashkaval Sheep Cheese,,349.95,جبنه كشكفال غنم,,أطعمة طازجة/منتجات الألبان والبيض/جبنة و لبنة/جبنة شيدر,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h4b/hc2/9294299693086/454290_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h1c/hc9/9294299496478/454290_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h0d/hc3/9294299627550/454290_main.jpg_146Wx146H"
Tolido Syrian Qamar El Din - 400gm,,20.50,قمر الدين سوري توليدو 400 جرام,,أطعمة طازجة/الأطعمة المبردة/المأكولات البحرية والكافيار/جاهز للاكل..,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h12/h6f/10130473353246/451780_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/ha9/h6b/10130473254942/451780_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hbb/h6e/10130473320478/451780_main.jpg_146Wx146H"
