Name,Brand,Price,Ar Name,Ar Brand,Arabic Category,HighResImg,MediumResImg,LowResImg
Juhayna Classic Cocktail Juice - 1 L,Juhayna,7.75,جهينة كلسيك عصير كوكتيل 1ل,جهينة,المشروبات/العصائر/عصائر طويلة الأمد/عصير فواكه مركّز,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h59/ha9/10065463869470/3705_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h04/ha6/10065463771166/3705_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h02/ha9/10065463836702/3705_main.jpg_146Wx146H"
Lamar Guava Juice - 230 ml,Lamar,3.50,لمار عصير جوافة 230 م,لامار,المشروبات/مشروبات الأطفال/عصائر الاطفال/رزمة تيترا للأطفال,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h82/hf6/10066915164190/393675_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/heb/hf9/10066915065886/393675_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hd9/hf6/10066915131422/393675_main.jpg_146Wx146H"
Domty Pineapple Juice - 235 ml,Domty,2.95,دومتى عصير اناناس 235م,دومتي,المشروبات/مشروبات الأطفال/عصائر الاطفال/رزمة تيترا للأطفال,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h03/h6a/10066877218846/396559_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h58/h6d/10066877120542/396559_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/haa/h6c/10066877186078/396559_main.jpg_146Wx146H"
LAMAR ORANGE JUICE 1L,Lamar,21.25,لمار عصير برتقال 100% 1ل,لامار,المشروبات/العصائر/عصائر طويلة الأمد/عصير فواكه,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h6b/h4a/10066918277150/393668_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h02/h47/10066918178846/393668_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h14/h4a/10066918244382/393668_main.jpg_146Wx146H"
Lamar Red Grapes Juice 100% Natural - 1 Liter...,Lamar,21.25,لمار عصير عنب احمر 100% 1ل,لامار,المشروبات/العصائر/عصائر طويلة الأمد/عصير فواكه,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h33/ha7/10067185074206/415538_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h47/hf2/10067184975902/415538_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h8a/ha7/10067185041438/415538_main.jpg_146Wx146H"
Rani Guava Juice - 235 ml,Rani,3.25,رانى عصير جوافه 235م,راني,المشروبات/مشروبات الأطفال/عصائر الاطفال/رزمة تيترا للأطفال,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h9c/haf/10067135234078/416627_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h05/hb3/10067135135774/416627_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hf3/haf/10067135201310/416627_main.jpg_146Wx146H"
LAMAR RED GRAPE JUICE 230M,Lamar,5.95,لمار عصير عنب احمر 200م,لامار,المشروبات/مشروبات الأطفال/عصائر الاطفال/رزمة تيترا للأطفال,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h96/hd5/10067504726046/436159_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hff/hd8/10067504627742/436159_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h3d/hd8/10067504693278/436159_main.jpg_146Wx146H"
Juhayna Pure Red Grapes Juice - 235 ml,Juhayna,6.75,جهينة بيور عصير عنب احمر 235م,جهينة,المشروبات/العصائر/عصائر طويلة الأمد/عصير فواكه,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h2e/hc7/10067422543902/445698_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hc6/hc3/10067422445598/445698_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hd8/hc6/10067422511134/445698_main.jpg_146Wx146H"
Juhayna Mixed Berries Juice - 1 Liter,Juhayna,10.25,جهينة كلسيك عصير توت بري1ل,جهينة,المشروبات/العصائر/عصائر طويلة الأمد/عصير فواكه مركّز,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h62/h33/10067815235614/455512_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hca/h36/10067815137310/455512_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hb9/h33/10067815202846/455512_main.jpg_146Wx146H"
Juhayna Pure Pineapple Juice - 1 Liter,Juhayna,21.95,جهينة بيور عصير اناناس 1ل,جهينة,المشروبات/العصائر/عصائر طويلة الأمد/عصير فواكه,"https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h26/h33/10066597707806/310921_main.jpg_480Wx480H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h8e/h36/10066597609502/310921_main.jpg_200Wx200H","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hcc/h35/10066597675038/310921_main.jpg_146Wx146H"
